Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.18.91-58.65.206.80-60694-80-6,192.168.18.91,60694,58.65.206.80,80,6,05/01/2025 03:41:22 AM,20696,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.2740626207963,6898.666666666667,9187.59709245749,17335.0,30.0,20696.0,10348.0,9881.110160300816,17335.0,3361.0,0,0,0,0,0,0,0,0,0,104,40,144.95554696559722,48.31851565519907,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,0,0,0,0,1.736030482894283E15,0.0,1.736030482894283E15,1.736030482894283E15,NeedManualLabel
192.168.18.91-58.65.206.74-60564-80-6,192.168.18.91,60564,58.65.206.74,80,6,05/01/2025 03:41:28 AM,20993,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.5397037107607,6997.666666666667,9296.277606296691,17553.0,29.0,20993.0,10496.5,9979.398002885746,17553.0,3440.0,0,0,0,0,0,0,0,0,0,104,40,142.90477778307053,47.634925927690176,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,0,0,0,0,1.736030488103797E15,0.0,1.736030488103797E15,1.736030488103797E15,NeedManualLabel
58.65.206.74-192.168.18.91-80-60564-6,58.65.206.74,80,192.168.18.91,60564,6,05/01/2025 03:41:28 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,64,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,510,0,0,32,0,0,0,0,1.736030488128076E15,0.0,1.736030488128076E15,1.736030488128076E15,NeedManualLabel
45.190.219.199-192.168.18.91-6881-59972-17,45.190.219.199,6881,192.168.18.91,59972,17,05/01/2025 03:41:11 AM,2077768,2,0,208.0,0.0,104.0,104.0,104.0,0.0,0,0,0,0,100.1074229654129,0.9625713746674317,2077768.0,0.0,2077768.0,2077768.0,2077768.0,2077768.0,0.0,2077768.0,2077768.0,0,0,0,0,0,0,0,0,0,16,0,0.9625713746674317,0.0,104.0,104.0,104.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,156.0,104.0,0.0,0,0,0,0,0,0,1,104,0,0,0,0,1,8,0,0,0,0,1.736030471517599E15,0.0,1.736030471517599E15,1.736030471517599E15,NeedManualLabel
181.143.34.146-192.168.18.91-6881-1742-17,181.143.34.146,6881,192.168.18.91,1742,17,05/01/2025 03:41:11 AM,2076084,2,0,208.0,0.0,104.0,104.0,104.0,0.0,0,0,0,0,100.18862435238653,0.9633521572344858,2076084.0,0.0,2076084.0,2076084.0,2076084.0,2076084.0,0.0,2076084.0,2076084.0,0,0,0,0,0,0,0,0,0,16,0,0.9633521572344858,0.0,104.0,104.0,104.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,156.0,104.0,0.0,0,0,0,0,0,0,1,104,0,0,0,0,1,8,0,0,0,0,1.736030471471416E15,0.0,1.736030471471416E15,1.736030471471416E15,NeedManualLabel
185.91.185.90-192.168.18.91-6881-4671-17,185.91.185.90,6881,192.168.18.91,4671,17,05/01/2025 03:41:11 AM,2079705,2,0,208.0,0.0,104.0,104.0,104.0,0.0,0,0,0,0,100.01418470408062,0.9616748529238521,2079705.0,0.0,2079705.0,2079705.0,2079705.0,2079705.0,0.0,2079705.0,2079705.0,0,0,0,0,0,0,0,0,0,16,0,0.9616748529238521,0.0,104.0,104.0,104.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,156.0,104.0,0.0,0,0,0,0,0,0,1,104,0,0,0,0,1,8,0,0,0,0,1.736030471342071E15,0.0,1.736030471342071E15,1.736030471342071E15,NeedManualLabel
58.65.206.80-192.168.18.91-80-60694-6,58.65.206.80,80,192.168.18.91,60694,6,05/01/2025 03:41:22 AM,25,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,25.0,0.0,25.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,510,502,0,32,0,0,0,0,1.736030482918204E15,0.0,1.736030482918204E15,1.736030482918204E15,NeedManualLabel
58.65.206.74-192.168.18.91-80-60564-6,58.65.206.74,80,192.168.18.91,60564,6,05/01/2025 03:41:28 AM,172,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11627.906976744185,172.0,0.0,172.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5813.953488372093,5813.953488372093,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,510,502,0,32,0,0,0,0,1.736030488376442E15,0.0,1.736030488376442E15,1.736030488376442E15,NeedManualLabel
192.168.18.236-224.0.0.22-0-0-0,192.168.18.236,0,224.0.0.22,0,0,05/01/2025 03:41:14 AM,2136824,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9359685215066847,2136824.0,0.0,2136824.0,2136824.0,2136824.0,2136824.0,0.0,2136824.0,2136824.0,0,0,0,0,0,0,0,0,0,0,0,0.9359685215066847,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.736030474183989E15,0.0,1.736030474183989E15,1.736030474183989E15,NeedManualLabel
192.168.18.149-224.0.0.22-0-0-0,192.168.18.149,0,224.0.0.22,0,0,05/01/2025 03:40:31 AM,58246762,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.30903005389381133,3426280.1176470593,5307269.985178843,1.5829586E7,206472.0,5.8246762E7,3426280.1176470593,5307269.985178843,1.5829586E7,206472.0,0,0,0,0,0,0,0,0,0,0,0,0.30903005389381133,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1643519.0,631871.6409757074,2343837.0,808129.0,3.472060962461021E14,7.763764054836938E14,1.736030431276886E15,9949119.0,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,05/01/2025 03:41:17 AM,5220552,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3831012505957225,5220552.0,0.0,5220552.0,5220552.0,5220552.0,5220552.0,0.0,5220552.0,5220552.0,0,0,0,0,0,0,0,0,0,0,0,0.3831012505957225,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.68015241532429E14,1.2275589195387435E15,1.736030477844306E15,5220552.0,NeedManualLabel
45.190.219.199-192.168.18.91-6881-59123-17,45.190.219.199,6881,192.168.18.91,59123,17,05/01/2025 03:41:11 AM,2077250,2,0,208.0,0.0,104.0,104.0,104.0,0.0,0,0,0,0,100.13238656878084,0.9628114093152005,2077250.0,0.0,2077250.0,2077250.0,2077250.0,2077250.0,0.0,2077250.0,2077250.0,0,0,0,0,0,0,0,0,0,16,0,0.9628114093152005,0.0,104.0,104.0,104.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,156.0,104.0,0.0,0,0,0,0,0,0,1,104,0,0,0,0,1,8,0,0,0,0,1.736030471515039E15,0.0,1.736030471515039E15,1.736030471515039E15,NeedManualLabel
112.204.168.130-192.168.18.91-6881-54416-17,112.204.168.130,6881,192.168.18.91,54416,17,05/01/2025 03:41:11 AM,2071808,2,0,208.0,0.0,104.0,104.0,104.0,0.0,0,0,0,0,100.39540343506735,0.9653404176448783,2071808.0,0.0,2071808.0,2071808.0,2071808.0,2071808.0,0.0,2071808.0,2071808.0,0,0,0,0,0,0,0,0,0,16,0,0.9653404176448783,0.0,104.0,104.0,104.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,156.0,104.0,0.0,0,0,0,0,0,0,1,104,0,0,0,0,1,8,0,0,0,0,1.736030471428761E15,0.0,1.736030471428761E15,1.736030471428761E15,NeedManualLabel
